group_id,label,operator
14,Prefix: valid-length fill,"Prefix: valid-length fill | void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3) | grid=(1, 1, 1) block=(128, 1, 1)"
15,Text: embedding lookup,"Text: embedding lookup | void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool) | grid=(200, 1, 1) block=(256, 1, 1)"
16,Text: embedding scale,"Text: embedding scale | void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3) | grid=(800, 1, 1) block=(128, 1, 1)"
17,Vision: FFN GELU,"Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)"
18,Vision: FFN contraction + bias,"Vision: FFN contraction + bias | nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN | grid=(16, 1, 1) block=(256, 1, 1)"
19,Vision: FFN expansion + bias,"Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)"
20,Vision: FlashAttention,"Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)"
21,Vision: NCHW → NHWC (input),"Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)"
22,Vision: NCHW → NHWC (weights),"Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)"
23,Vision: NHWC → NCHW,"Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)"
24,Vision: attention Q/K/V/O projections,"Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)"
25,Vision: image embedding scale,"Vision: image embedding scale | triton_poi_fused_mul_view_11 | grid=(1024, 1, 1) block=(128, 1, 1)"
26,Vision: image-to-text projection + bias,"Vision: image-to-text projection + bias | nvjet_sm110_tst_512x64_64x2_1x4_h_bz_bias_TNT | grid=(16, 1, 1) block=(256, 1, 1)"
27,Vision: input cast/layout,"Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)"
28,Vision: patch embedding convolution,"Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)"
29,Vision: patch/LayerNorm fusion 1,"Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)"
30,Vision: patch/LayerNorm fusion 2,"Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)"
31,Vision: patch/LayerNorm fusion 3,"Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)"
32,Vision: residual/LayerNorm fusion 10,"Vision: residual/LayerNorm fusion 10 | triton_red_fused_add_native_layer_norm_view_10 | grid=(256, 1, 1) block=(64, 1, 1)"
33,Vision: residual/LayerNorm fusion 4,"Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)"
34,Vision: residual/LayerNorm fusion 6,"Vision: residual/LayerNorm fusion 6 | triton_red_fused_add_native_layer_norm_view_6 | grid=(128, 1, 1) block=(128, 1, 1)"
35,Vision: residual/LayerNorm fusion 7,"Vision: residual/LayerNorm fusion 7 | triton_red_fused_add_native_layer_norm_view_7 | grid=(256, 1, 1) block=(64, 1, 1)"
36,Vision: residual/LayerNorm fusion 8,"Vision: residual/LayerNorm fusion 8 | triton_red_fused_add_native_layer_norm_view_8 | grid=(256, 1, 1) block=(64, 1, 1)"
37,Vision: residual/LayerNorm fusion 9,"Vision: residual/LayerNorm fusion 9 | triton_red_fused_add_native_layer_norm_view_9 | grid=(256, 1, 1) block=(512, 1, 1)"
